FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_133	4636.5	4636.5	21	5	5
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_134	3311.5	3311.5	15	7	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_135	3378.5	3378.5	11	3	2
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_136	1563.5	1563.5	9	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_137	1055.5	1055.5	8	0	0
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_138	4911	4911	24	11	10
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_139	4682	4682	9	1	0
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_140	4266.5	4266.5	24	5	5
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_141	5038.5	5038.5	24	8	8
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_142	4249.5	4249.5	17	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_143	1264	1264	3	1	1
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_144	1379.5	1379.5	8	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_145	6775.5	6775.5	38	6	6
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_146	4615	4615	25	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_147	6649	6649	34	11	10
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_148	6443	6443	40	12	12
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_149	3795.5	3795.5	15	6	5
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_150	7700.5	7700.5	40	9	9
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_151	4045.5	4045.5	22	2	2
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_152	4802	4802	20	7	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_153	12050	12050	56	22	22
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_154	5652	5652	25	11	11
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_155	5785	5785	44	10	10
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_156	6706.5	6706.5	34	13	11
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_157	5721.5	5721.5	24	2	2
